"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Exit,outcome
182,1829.0,14.0,4.0,3.0,2.0,1.0,58.0,1597.0,True,True,False
183,3.0,1.0,12.0,3467.0,59.0,1.0,0.0,4.0,True,True,False
184,1284.0,8.0,2.0,2.0,1.0,1.0,71.0,1473.0,True,True,False
185,688.0,19.0,10.0,149.0,22.0,1.0,2.0,9.0,True,False,True
186,1.0,12.0,230.0,2763.0,15.0,3.0,3.0,4.0,False,False,True
187,1178.0,193.0,28.0,25.0,6.0,1.0,2.0,27.0,True,False,True
188,12.0,9.0,83.0,3060.0,57.0,5.0,4.0,21.0,True,False,True
189,1266.0,171.0,19.0,16.0,9.0,3.0,2.0,10.0,True,False,True
190,11.0,8.0,65.0,3202.0,40.0,5.0,5.0,18.0,True,False,True
191,948.0,166.0,27.0,57.0,8.0,3.0,5.0,24.0,True,False,True
192,9.0,9.0,66.0,2879.0,53.0,5.0,4.0,15.0,True,False,True
193,1147.0,151.0,58.0,16.0,8.0,1.0,0.0,23.0,True,False,True
194,11.0,9.0,99.0,2780.0,48.0,4.0,4.0,19.0,True,False,True
195,1089.0,133.0,53.0,14.0,1.0,0.0,0.0,12.0,True,False,True
196,11.0,11.0,108.0,2840.0,46.0,4.0,5.0,15.0,True,False,True
197,2.0,1.0,11.0,3094.0,53.0,2.0,1.0,4.0,True,True,False
198,1388.0,6.0,1.0,1.0,1.0,0.0,4.0,2162.0,True,True,False
199,1324.0,7.0,1.0,2.0,0.0,0.0,6.0,1883.0,True,True,False
200,2.0,1.0,35.0,6575.0,58.0,5.0,1.0,10.0,True,False,False
201,1174.0,4.0,1.0,1.0,1.0,0.0,10.0,1898.0,True,True,False
202,1.0,1.0,10.0,3278.0,52.0,2.0,1.0,6.0,True,True,False
203,1466.0,4.0,1.0,0.0,0.0,0.0,9.0,2200.0,True,True,False
204,1.0,1.0,14.0,3310.0,57.0,3.0,1.0,5.0,True,False,False
205,1252.0,9.0,2.0,3.0,0.0,0.0,21.0,1969.0,True,True,False
206,1.0,1.0,17.0,2268.0,57.0,3.0,1.0,4.0,True,False,False
207,1492.0,11.0,2.0,2.0,1.0,1.0,52.0,1846.0,True,True,False
208,1.0,1.0,18.0,3647.0,55.0,1.0,1.0,3.0,True,False,False
209,1760.0,11.0,3.0,1.0,1.0,1.0,94.0,1635.0,True,True,False
210,0.0,1.0,39.0,1560.0,45.0,3.0,1.0,3.0,False,False,False
211,795.0,51.0,32.0,96.0,9.0,1.0,2.0,9.0,True,False,True
212,27.0,11.0,92.0,2778.0,61.0,3.0,3.0,21.0,True,False,True
213,690.0,44.0,23.0,97.0,14.0,1.0,1.0,12.0,True,False,True
214,12.0,11.0,102.0,2976.0,48.0,3.0,2.0,20.0,True,False,True
215,1088.0,53.0,23.0,94.0,22.0,1.0,1.0,10.0,True,False,True
216,11.0,21.0,113.0,3245.0,49.0,3.0,3.0,5.0,True,False,True
217,10.0,18.0,120.0,3137.0,39.0,1.0,2.0,4.0,True,False,True
218,1126.0,55.0,23.0,147.0,25.0,0.0,0.0,7.0,True,False,True
219,667.0,17.0,18.0,244.0,11.0,2.0,2.0,12.0,True,False,True
220,3.0,6.0,103.0,2814.0,37.0,2.0,2.0,6.0,True,False,True
221,837.0,26.0,21.0,393.0,44.0,1.0,0.0,9.0,True,False,True
222,5.0,7.0,113.0,2716.0,48.0,3.0,3.0,5.0,True,False,True
223,1192.0,6.0,1.0,1.0,1.0,0.0,4.0,1847.0,True,True,False
224,2.0,3.0,37.0,3776.0,47.0,2.0,1.0,5.0,True,True,False
225,1503.0,6.0,1.0,1.0,0.0,0.0,7.0,2205.0,True,True,False
226,7.0,3.0,44.0,4435.0,56.0,2.0,1.0,7.0,True,True,False
227,1123.0,9.0,2.0,2.0,0.0,1.0,4.0,1868.0,True,True,False
228,2.0,3.0,39.0,3694.0,52.0,2.0,1.0,5.0,True,True,False
229,1253.0,10.0,2.0,2.0,1.0,0.0,22.0,1894.0,True,True,False
230,1.0,2.0,37.0,3461.0,43.0,1.0,1.0,5.0,True,True,False
231,1477.0,11.0,3.0,2.0,1.0,1.0,52.0,1758.0,True,True,False
232,1.0,2.0,40.0,3750.0,44.0,1.0,1.0,4.0,True,True,False
233,1307.0,14.0,3.0,1.0,1.0,1.0,77.0,1634.0,True,True,False
234,1.0,3.0,43.0,3723.0,45.0,1.0,1.0,4.0,True,True,False
235,1681.0,16.0,3.0,1.0,0.0,0.0,92.0,1607.0,True,True,False
236,1.0,3.0,42.0,3663.0,44.0,1.0,1.0,4.0,True,True,False
237,1930.0,34.0,5.0,6.0,28.0,3.0,2.0,9.0,True,False,True
238,1.0,1.0,31.0,3831.0,36.0,3.0,2.0,2.0,True,False,True
239,1950.0,92.0,10.0,6.0,2.0,0.0,0.0,10.0,True,False,True
240,1.0,2.0,35.0,3897.0,43.0,2.0,2.0,2.0,True,False,True
241,1948.0,102.0,8.0,6.0,2.0,0.0,0.0,8.0,True,False,True
242,2.0,2.0,35.0,4302.0,44.0,4.0,2.0,2.0,True,False,True
243,1460.0,145.0,17.0,37.0,2.0,0.0,1.0,17.0,True,False,True
244,2.0,2.0,39.0,4463.0,26.0,2.0,3.0,3.0,True,False,True
245,1609.0,150.0,22.0,34.0,1.0,0.0,0.0,12.0,True,False,True
246,2.0,1.0,44.0,4591.0,39.0,4.0,2.0,3.0,True,False,True
247,887.0,117.0,193.0,210.0,4.0,0.0,0.0,10.0,True,False,True
248,39.0,52.0,104.0,3426.0,35.0,9.0,4.0,17.0,True,False,True
249,1105.0,8.0,2.0,2.0,0.0,0.0,3.0,1690.0,True,True,False
250,1.0,1.0,11.0,6360.0,93.0,1.0,1.0,5.0,True,False,False
251,1224.0,7.0,1.0,1.0,0.0,0.0,4.0,1801.0,True,True,False
252,1.0,1.0,8.0,5348.0,88.0,1.0,1.0,5.0,True,True,False
253,1005.0,5.0,2.0,2.0,0.0,0.0,7.0,1871.0,True,True,False
254,1.0,1.0,7.0,5075.0,75.0,1.0,0.0,3.0,True,True,False
255,1186.0,11.0,3.0,3.0,1.0,0.0,24.0,1890.0,True,True,False
256,0.0,1.0,8.0,5416.0,77.0,1.0,1.0,2.0,True,True,False
257,1505.0,11.0,2.0,1.0,1.0,1.0,55.0,1781.0,True,True,False
258,0.0,0.0,5.0,5041.0,103.0,1.0,0.0,1.0,True,True,False
259,1352.0,12.0,2.0,1.0,1.0,0.0,59.0,1756.0,True,True,False
260,1.0,1.0,8.0,4689.0,65.0,1.0,0.0,1.0,True,True,False
261,1334.0,13.0,2.0,1.0,1.0,0.0,91.0,1648.0,True,True,False
262,1.0,1.0,9.0,4659.0,59.0,1.0,0.0,1.0,True,True,False
263,1354.0,43.0,8.0,21.0,15.0,2.0,2.0,24.0,True,False,True
264,1.0,2.0,27.0,4029.0,17.0,1.0,1.0,3.0,True,False,True
265,791.0,103.0,19.0,9.0,5.0,1.0,1.0,20.0,True,False,True
266,5.0,20.0,69.0,3892.0,21.0,6.0,5.0,10.0,True,False,True
267,709.0,78.0,22.0,25.0,8.0,2.0,2.0,21.0,True,False,True
268,2.0,16.0,73.0,3932.0,15.0,9.0,8.0,15.0,True,False,True
269,513.0,39.0,15.0,33.0,12.0,2.0,4.0,25.0,True,False,True
270,4.0,7.0,79.0,3669.0,17.0,8.0,7.0,13.0,True,False,True
271,479.0,36.0,14.0,28.0,17.0,3.0,3.0,24.0,True,False,True
272,2.0,9.0,130.0,3927.0,9.0,2.0,3.0,5.0,True,False,True
273,531.0,35.0,18.0,32.0,18.0,3.0,3.0,19.0,True,False,True
