"",index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
93,16,31.0,1519.0,8.0,4.0,3.0,1.0,1.0,26.0,True,2,True,4.0,NT-3,False
94,17,0.0,0.0,0.0,6559.0,9231.0,2.0,0.0,9.0,True,4,True,1.0,NT-3,False
95,18,56.0,1448.0,5.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-4,False
96,19,0.0,0.0,0.0,6175.0,8480.0,1.0,0.0,7.0,True,4,True,1.0,NT-4,False
97,20,15.0,1815.0,6.0,4.0,3.0,1.0,1.0,25.0,True,2,True,4.0,NT-45-20,False
98,21,0.0,0.0,0.0,5924.0,7989.0,1.0,0.0,6.0,True,4,True,1.0,NT-45-20,False
99,22,25.0,1554.0,5.0,4.0,5.0,1.0,1.0,26.0,True,2,True,4.0,NT-55-30,False
100,23,0.0,0.0,1.0,7141.0,11216.0,0.0,0.0,10.0,True,4,True,1.0,NT-55-30,False
101,24,36.0,2505.0,6.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-NM,False
102,25,0.0,1.0,1.0,6659.0,12589.0,1.0,0.0,8.0,True,4,True,1.0,NT-NM,False
103,0,12.0,920.0,41.0,5.0,5.0,2.0,2.0,22.0,True,2,False,NaN,45-37,True
104,1,1.0,51.0,38.0,122.0,7652.0,103.0,15.0,14.0,True,4,False,NaN,45-37,True
105,2,27.0,1026.0,31.0,5.0,6.0,2.0,2.0,22.0,True,2,False,NaN,47-39,True
106,3,0.0,94.0,91.0,191.0,5368.0,57.0,21.0,36.0,True,4,False,NaN,47-39,True
107,4,20.0,799.0,175.0,12.0,5.0,2.0,2.0,18.0,True,2,False,NaN,49-41,True
108,5,2.0,53.0,30.0,83.0,1597.0,15.0,5.0,26.0,True,4,False,NaN,49-41,True
109,6,13.0,864.0,39.0,31.0,8.0,2.0,2.0,22.0,True,2,False,NaN,51-43,True
110,7,2.0,74.0,22.0,42.0,2510.0,36.0,14.0,35.0,True,4,False,NaN,51-43,True
111,8,3.0,786.0,52.0,47.0,8.0,2.0,2.0,23.0,True,2,False,NaN,53-45,True
112,9,2.0,156.0,37.0,92.0,3996.0,72.0,18.0,25.0,True,4,False,NaN,53-45,True
113,10,10.0,298.0,492.0,109.0,5.0,2.0,1.0,21.0,True,2,False,NaN,55-47,True
114,11,7.0,140.0,17.0,45.0,3908.0,82.0,226.0,106.0,True,4,False,NaN,55-47,True
115,12,25.0,1740.0,5.0,5.0,3.0,1.0,1.0,25.0,True,2,True,4.0,NM,True
116,13,0.0,1.0,1.0,7706.0,11284.0,1.0,0.0,3.0,True,4,True,1.0,NM,True
117,14,35.0,2022.0,10.0,4.0,5.0,1.0,1.0,24.0,True,2,True,4.0,NT-1,False
118,15,0.0,0.0,0.0,7368.0,11145.0,0.0,0.0,1.0,True,4,True,1.0,NT-1,False
119,16,79.0,1850.0,7.0,3.0,1.0,1.0,1.0,22.0,True,2,True,4.0,NT-2,False
120,17,0.0,0.0,0.0,8535.0,11090.0,0.0,0.0,1.0,True,4,True,1.0,NT-2,False
121,18,43.0,1633.0,6.0,4.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-3,False
122,19,0.0,0.0,0.0,8084.0,10524.0,0.0,0.0,1.0,True,4,True,1.0,NT-3,False
123,20,30.0,1750.0,4.0,2.0,2.0,1.0,0.0,24.0,True,2,True,4.0,NT-4,False
124,21,0.0,0.0,0.0,8361.0,9904.0,0.0,0.0,1.0,True,4,True,1.0,NT-4,False
125,22,54.0,2732.0,3.0,3.0,1.0,0.0,0.0,23.0,True,2,True,4.0,NT-45-25,False
126,23,0.0,0.0,0.0,7272.0,9331.0,0.0,0.0,0.0,True,4,True,1.0,NT-45-25,False
127,24,55.0,2156.0,8.0,3.0,5.0,2.0,1.0,25.0,True,2,True,4.0,NT-55-35,False
128,25,0.0,0.0,1.0,7432.0,11369.0,1.0,0.0,1.0,True,4,True,1.0,NT-55-35,False
